danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_genre,key,mode,release_month,binary_outcome,bin_year
0.1483555962028787,0.33576318367236724,-0.07223004642991271,-0.6294573219802803,-0.32843911029911027,-0.3918256394405536,0.8919139334760976,-0.18087955545359205,0.14754053521394792,-0.8804564385536292,pop,11,1,6,1,recent
0.19637225008001036,0.831676506380837,-0.0985788642120438,-0.6986889012197095,-0.7296976402587304,-0.3882392260944165,-1.0395571097466128,-0.6929651664018429,0.18712637253260148,-0.5598630866040174,pop,1,0,8,1,recent
0.06604133241351011,1.125954741834215,1.0001668373028219,-0.5543751867487867,-0.6493561672578669,-0.3918256394405536,0.9111580820302926,-0.48386354193130704,0.1869779720178172,-0.844436553241891,pop,1,0,2,0,recent
-0.19462050291949037,1.3057914412779454,0.9336360724029409,-0.5485246307567222,-0.7758378828536399,-0.3907075729297675,-0.6328641036346241,-0.5948154243034282,0.26121532953855425,-0.9774645387681969,pop,6,1,5,1,recent
0.17579368413266822,1.1477531296455765,1.2807817466825178,-0.02880024012833136,-0.645316651855589,-0.3918256394405536,0.5006162462074648,1.3169708565700406,-0.03974091444356331,-1.1705802420645388,pop,1,1,4,0,recent
-0.08486815120033228,0.9297692515319631,0.6796993410276528,-0.6401833412990652,-0.6520491775260523,-0.38619230432851576,1.3601882149615105,-0.6502913654894886,0.2647027416359805,-0.793271943424081,pop,11,1,11,1,recent
0.3335626897289572,0.6300414191257447,-0.22801743156676263,-0.23259460718524264,-0.3149740589581834,-0.39169534168948894,1.1741614456042915,-0.0315212522603524,0.03846615684764739,-0.8935545786669885,pop,0,0,11,1,recent
0.47761265136035225,0.7553821490410724,0.10891807582223835,-0.6733364919207635,-0.7489975471807255,-0.3897744174188421,-0.689955077678736,0.5659119605126067,0.11114530896315154,-0.8101030534697478,pop,11,1,11,1,recent
0.6079435690268524,0.9025212667677613,0.5789151130110015,-0.10095709736379266,-0.7888989826543389,-0.37174344480451044,0.32100419303497746,0.924371888176382,0.15121344795485356,-0.9273641528345974,pop,0,1,9,1,recent
0.4295959974832205,0.635491016078585,0.8881843617287647,-0.5329231481112171,-0.31048570851120777,-0.3918256394405536,-0.17934366937409388,-0.6801630261281366,0.1490987406191803,-0.10090425703190561,pop,10,1,11,1,recent
0.6491007009215367,0.7226845673240304,0.5891252799015771,0.06870902640607603,-0.4258363149984812,-0.39150914061288494,-0.73934839230117,1.6370243634126975,0.26221703301334687,-0.6762400615112152,pop,1,1,6,1,recent
1.1155481957279578,0.733583761229711,0.278538590294707,-0.5543751867487867,-0.22969540046564668,-0.39178655011523417,-0.8240226459396283,1.2060189741979201,0.03991306186679224,-0.9236148102271483,pop,5,1,11,1,recent
-0.13974432705991133,0.848025297239358,0.9128863783995126,-0.6314075073109684,-0.6237725697101059,-0.3917039422011104,1.5590444166881927,0.6341900419723735,0.18809097587869786,-0.8876604156159769,pop,0,0,7,1,recent
-0.619910865831228,0.608243031314384,1.283416628460731,-0.5436491674300018,-0.7717983674513618,-0.3918256394405536,-0.682257418257058,-0.0656602929902358,0.33459938409928247,0.340699536890005,pop,2,1,7,1,recent
0.5119102612725891,0.635491016078585,1.2975791180186262,-0.6041049126813344,-0.7852185352878188,-0.3904624583485567,-0.5770560728274583,0.7280724039795529,0.11363101758578519,-0.14016593202170027,pop,11,0,6,1,recent
1.3213338552013794,0.4066079440592916,1.0917289790957272,-0.5914287080318614,-0.7319418154822183,-0.39172974373597463,0.08365969419990509,0.32267129531218747,0.1132229161701286,-0.4278502069364968,pop,5,1,10,1,recent
0.27182699188693077,-0.11110376646053953,-0.11241199354766256,-0.7367175151681283,-0.7261069599011499,-0.39179962289289877,-0.5770560728274583,-0.45399188129265905,-0.6308572649572571,0.02768673353099983,pop,8,1,6,1,recent
0.16893416215022083,1.2512954717495428,1.040019424198295,-0.47051721752919634,-0.6592305382412132,-0.39168244092205673,-0.3076379930687277,0.6512595623373152,-0.15078159963075283,-1.2511338037616988,pop,3,0,10,1,recent
0.11405798629064177,-1.3372630808496138,-1.46476506621554,1.8238758240254074,0.3358367558532811,1.0272587780956874,-0.4744206138717514,0.7238050238883175,0.5230680378750667,-0.5196026784305791,pop,0,1,7,1,recent
0.6971173547986684,1.2676442626080637,0.8937834855074677,-0.4617413835410997,-0.20276529778379296,-0.27528870697015323,-0.6771256453092727,-0.9490079718759682,0.04024696302505644,-0.8040615363424608,pop,1,0,11,1,recent
-0.21519906886683252,0.8752732820035597,-0.26622321735085286,-0.4324886035807775,-0.7924941513623663,2.816165195353494,-0.6418447062932484,-0.29183143782571314,0.0375386536302472,-0.13430451432097196,pop,5,1,5,1,recent
